,id_categoria,categoria
0,0,restaurant
1,1,buffet restaurant
2,2,bakery
3,3,deli
4,4,gift basket store
5,5,liquor store
6,6,coffee shop
7,7,bubble tea store
8,8,cafe
9,9,modern french restaurant
10,10,grocery store
11,11,gas station
12,12,atm
13,13,convenience store
14,14,bar
15,15,beer store
16,16,sandwich shop
17,17,ham shop
18,18,soft drinks shop
19,19,mexican restaurant
20,20,gift shop
21,21,wine store
22,22,winery
23,23,american restaurant
24,24,caterer
25,25,fast food restaurant
26,26,takeout restaurant
27,27,indian restaurant
28,28,health and beauty shop
29,29,facial spa
30,30,juice shop
31,31,medical spa
32,32,cafeteria
33,33,cake shop
34,34,cupcake shop
35,35,kosher grocery store
36,36,kosher restaurant
37,37,pastry shop
38,38,pizza restaurant
39,39,wedding bakery
40,40,bar  grill
41,41,sports bar
42,42,seafood restaurant
43,43,cajun restaurant
44,44,chicken wings restaurant
45,45,steak house
46,46,cookie shop
47,47,dessert shop
48,48,ice cream shop
49,49,diesel fuel supplier
50,50,fuel pump
51,51,puerto rican restaurant
52,52,nuevo latino restaurant
53,53,health food restaurant
54,54,delivery restaurant
55,55,cuban restaurant
56,56,breakfast restaurant
57,57,dinner theater
58,58,wine bar
59,59,colombian restaurant
60,60,hamburger restaurant
61,61,asian restaurant
62,62,chinese restaurant
63,63,ramen restaurant
64,64,supermarket
65,65,florist
66,66,seafood market
67,67,tourist attraction
68,68,parking garage
69,69,shopping mall
70,70,theme park
71,71,italian restaurant
72,72,fine dining restaurant
73,74,mediterranean restaurant
74,75,pizza delivery
75,76,pizza takeout
76,77,peruvian restaurant
77,78,cell phone store
78,79,check cashing service
79,80,money order service
80,81,money transfer service
81,82,chocolate shop
82,83,health food store
83,84,association or organization
84,85,sushi restaurant
85,86,salad shop
86,87,tea house
87,88,boutique
88,89,wholesale bakery
89,90,family restaurant
90,91,hookah bar
91,92,lounge
92,93,art gallery
93,94,taco restaurant
94,95,dollar store
95,96,clothing store
96,97,discount store
97,98,discount supermarket
98,99,school supply store
99,100,tobacco shop
100,101,toy store
101,103,coffee store
102,104,snack bar
103,105,irish pub
104,106,espresso bar
105,107,night club
106,108,thai restaurant
107,109,fish  chips restaurant
108,110,food manufacturer
109,111,furniture store
110,112,spanish restaurant
111,113,southern restaurant us
112,114,pretzel store
113,115,photographer
114,116,portrait studio
115,117,wedding photographer
116,118,sushi takeaway
117,119,fish store
118,120,cocktail bar
119,121,delivery service
120,122,pasta shop
121,124,mobile caterer
122,125,beer garden
123,126,brewery
124,127,brunch restaurant
125,128,live music bar
126,129,bikram yoga studio
127,130,candy store
128,131,bistro
129,132,moroccan restaurant
130,133,hot dog restaurant
131,134,event venue
132,135,cruise line company
133,136,tour operator
134,137,wedding venue
135,138,food and drink
136,139,down home cooking restaurant
137,141,japanese restaurant
138,142,japanese steakhouse
139,143,caribbean restaurant
140,144,cigar shop
141,145,food products supplier
142,146,adult entertainment club
143,147,live music venue
144,148,coffee roasters
145,149,box lunch supplier
146,150,catering
147,151,professional services
148,152,pool hall
149,153,food and beverage consultant
150,154,lottery retailer
151,155,food court
152,156,european restaurant
153,157,cheese shop
154,158,lunch restaurant
155,159,vegan restaurant
156,160,dessert restaurant
157,161,frozen yogurt shop
158,162,barbecue restaurant
159,163,piano bar
160,164,soul food restaurant
161,165,car wash
162,166,polish restaurant
163,167,photography service
164,168,photography studio
165,169,warehouse
166,170,food
167,171,burrito restaurant
168,172,wedding service
169,173,gay bar
170,174,gay  lesbian organization
171,175,organic restaurant
172,176,haitian restaurant
173,177,painting studio
174,178,art handcraft
175,179,art studio
176,180,class
177,181,vietnamese restaurant
178,182,donut shop
179,184,bed  breakfast
180,185,hotel
181,186,vegetarian restaurant
182,187,gyro restaurant
183,188,salvadoran restaurant
184,189,panasian restaurant
185,190,seafood wholesaler
186,191,gourmet grocery store
187,192,wholesale grocer
188,193,commercial photographer
189,194,aerial photographer
190,195,model portfolio studio
191,196,public bathroom
192,197,jamaican restaurant
193,198,bagel shop
