,id_categoria_restaurante,id_categoria,id_restaurante
0,0,249,663
1,1,249,926
2,2,249,1465
3,3,249,3029
4,4,249,3702
5,5,249,3915
6,6,249,4466
7,7,249,4791
8,8,249,5699
9,9,249,8410
10,10,249,9146
11,11,249,10839
12,12,249,15002
13,13,1187,15354
14,14,1187,15763
15,15,1187,15966
16,16,1187,16220
17,17,1187,16273
18,18,1187,16336
19,19,1187,16491
20,20,1187,16663
21,21,1187,16803
22,22,1187,16911
23,23,1187,17135
24,24,1187,17384
25,25,1187,17535
26,26,1187,17564
27,27,1187,17663
28,28,1187,17692
29,29,1187,17834
30,30,1187,18092
31,31,1187,18438
32,32,1187,18541
33,33,1187,18578
34,34,1187,19357
35,35,1187,19479
36,36,1187,19560
37,37,1187,19629
38,38,1187,19985
39,39,1187,20024
40,40,1187,20191
41,41,1187,20247
42,42,1187,20373
43,43,1187,20870
44,44,1187,20965
45,45,1187,21466
46,46,1187,22256
47,47,1187,22303
48,48,1187,22675
49,49,1187,22926
50,50,1187,22990
51,51,1187,23033
52,52,1187,23198
53,53,1187,24178
54,54,1187,24559
55,55,1187,24691
56,56,1187,24792
57,57,1187,24930
58,58,1187,25900
59,59,1187,26030
60,60,1187,26483
61,61,1164,15298
62,62,1164,16487
63,63,1164,19007
64,64,1164,19201
65,65,1164,20014
66,66,1164,22985
67,67,1164,24529
68,68,1164,24786
69,69,1108,15233
70,70,1108,15602
71,71,1108,15617
72,72,1108,15658
73,73,1108,15777
74,74,1108,15784
75,75,1108,15815
76,76,1108,16069
77,77,1108,16106
78,78,1108,16202
79,79,1108,16256
80,80,1108,16301
81,81,1108,16622
82,82,1108,16799
83,83,1108,16903
84,84,1108,17053
85,85,1108,17372
86,86,1108,17374
87,87,1108,17444
88,88,1108,17482
89,89,1108,17503
90,90,1108,17766
91,91,1108,18284
92,92,1108,18409
93,93,1108,18502
94,94,1108,18607
95,95,1108,18701
96,96,1108,18736
97,97,1108,18812
98,98,1108,18837
99,99,1108,18914
100,100,1108,18983
101,101,1108,19209
102,102,1108,19512
103,103,1108,19517
104,104,1108,19704
105,105,1108,19966
106,106,1108,20124
107,107,1108,20139
108,108,1108,20515
109,109,1108,20549
110,110,1108,20577
111,111,1108,20604
112,112,1108,20618
113,113,1108,20786
114,114,1108,20849
115,115,1108,21063
116,116,1108,21262
117,117,1108,21554
118,118,1108,21912
119,119,1108,21921
120,120,1108,22066
121,121,1108,22075
122,122,1108,22100
123,123,1108,22151
124,124,1108,22342
125,125,1108,22418
126,126,1108,22615
127,127,1108,23098
128,128,1108,23201
129,129,1108,23404
130,130,1108,23442
131,131,1108,23624
132,132,1108,23807
133,133,1108,23819
134,134,1108,24029
135,135,1108,24178
136,136,1108,24268
137,137,1108,24389
138,138,1108,24391
139,139,1108,24519
140,140,1108,24558
141,141,1108,24870
142,142,1108,24987
