id_ciudad;id_estado;ciudad
0;12;Alachua
1;12;Alford
2;12;Altamonte Springs
3;12;Altha
4;12;Anna Maria
5;12;Apalachicola
6;12;Apopka
7;12;Arcadia
8;12;Archer
9;12;Astatula
10;12;Atlantic Beach
11;12;Atlantis
12;12;Auburndale
13;12;Aventura
14;12;Avon Park
15;12;Bal Harbour
16;12;Baldwin
17;12;Bartow
18;12;Bascom
19;12;Bay Harbor Islands
20;12;Bay Lake
21;12;Bell
22;12;Belle Glade
23;12;Belle Isle
24;12;Belleair
25;12;Belleair Beach
26;12;Belleair Bluffs
27;12;Belleair Shore
28;12;Belleview
29;12;Beverly Beach
30;12;Biscayne Park
31;12;Blountstown
32;12;Boca Raton
33;12;Bonifay
34;12;Bonita Springs
35;12;Bowling Green
36;12;Boynton Beach
37;12;Bradenton
38;12;Bradenton Beach
39;12;Branford
40;12;Briny Breezes
41;12;Bristol
42;12;Bronson
43;12;Brooker
44;12;Brooksville
45;12;Bunnell
46;12;Bushnell
47;12;Callahan
48;12;Callaway
49;12;Campbellton
50;12;Cape Canaveral
51;12;Cape Coral
52;12;Carrabelle
53;12;Caryville
54;12;Casselberry
55;12;Cedar Key
56;12;Center Hill
57;12;Century
58;12;Chattahoochee
59;12;Chiefland
60;12;Chipley
61;12;Cinco Bayou
62;12;Clearwater
63;12;Clermont
64;12;Clewiston
65;12;Cloud Lake
66;12;Cocoa
67;12;Cocoa Beach
68;12;Coconut Creek
69;12;Coleman
70;12;Cooper City
71;12;Coral Gables
72;12;Coral Springs
73;12;Cottondale
74;12;Crescent City
75;12;Crestview
76;12;Cross City
77;12;Crystal River
78;12;Cutler Bay
79;12;Dade City
80;12;Dania Beach
81;12;Davenport
82;12;Davie
83;12;Daytona Beach
84;12;Daytona Beach Shores
85;12;DeBary
86;12;Deerfield Beach
87;12;DeFuniak Springs
88;12;DeLand
89;12;Delray Beach
90;12;Deltona
91;12;Destin
92;12;Doral
93;12;Dundee
94;12;Dunedin
95;12;Dunnellon
96;12;Eagle Lake
97;12;Eatonville
98;12;Ebro
99;12;Edgewater
100;12;Edgewood
101;12;El Portal
102;12;Estero
103;12;Esto
104;12;Eustis
105;12;Everglades City
106;12;Fanning Springs
107;12;Fellsmere
108;12;Fernandina Beach
109;12;Flagler Beach
110;12;Florida City
111;12;Fort Lauderdale
112;12;Fort Meade
113;12;Fort Myers
114;12;Fort Myers Beach
115;12;Fort Pierce
116;12;Fort Walton Beach
117;12;Fort White
118;12;Freeport
119;12;Frostproof
120;12;Fruitland Park
121;12;Gainesville
122;12;Glen Ridge
123;12;Glen St. Mary
124;12;Golden Beach
125;12;Golf
126;12;Graceville
127;12;Grand Ridge
128;12;Grant-Valkaria
129;12;Green Cove Springs
130;12;Greenacres
131;12;Greensboro
132;12;Greenville
133;12;Greenwood
134;12;Gretna
135;12;Groveland
136;12;Gulf Breeze
137;12;Gulf Stream
138;12;Gulfport
139;12;Haines City
140;12;Hallandale Beach
141;12;Hampton
142;12;Havana
143;12;Haverhill
144;12;Hawthorne
145;12;Hialeah
146;12;Hialeah Gardens
147;12;High Springs
148;12;Highland Beach
149;12;Highland Park
150;12;Hillcrest Heights
151;12;Hilliard
152;12;Hillsboro Beach
153;12;Holly Hill
